accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF952MIY,ENCFF952MIY.tsv,https://www.encodeproject.org/files/ENCFF952MIY/@@download/ENCFF952MIY.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000AAO/
ENCFF462LUE,ENCFF462LUE.tsv,https://www.encodeproject.org/files/ENCFF462LUE/@@download/ENCFF462LUE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CRI/
ENCFF752OQC,ENCFF752OQC.tsv,https://www.encodeproject.org/files/ENCFF752OQC/@@download/ENCFF752OQC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTG/
ENCFF344AGN,ENCFF344AGN.tsv,https://www.encodeproject.org/files/ENCFF344AGN/@@download/ENCFF344AGN.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSS/
ENCFF222GGP,ENCFF222GGP.tsv,https://www.encodeproject.org/files/ENCFF222GGP/@@download/ENCFF222GGP.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSC/
ENCFF205RGY,ENCFF205RGY.tsv,https://www.encodeproject.org/files/ENCFF205RGY/@@download/ENCFF205RGY.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CST/
ENCFF509XVO,ENCFF509XVO.tsv,https://www.encodeproject.org/files/ENCFF509XVO/@@download/ENCFF509XVO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTF/
ENCFF268XCU,ENCFF268XCU.tsv,https://www.encodeproject.org/files/ENCFF268XCU/@@download/ENCFF268XCU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSD/
ENCFF533OAW,ENCFF533OAW.tsv,https://www.encodeproject.org/files/ENCFF533OAW/@@download/ENCFF533OAW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTI/
ENCFF802VNV,ENCFF802VNV.tsv,https://www.encodeproject.org/files/ENCFF802VNV/@@download/ENCFF802VNV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUX/
ENCFF332NNC,ENCFF332NNC.tsv,https://www.encodeproject.org/files/ENCFF332NNC/@@download/ENCFF332NNC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUY/
ENCFF619OUC,ENCFF619OUC.tsv,https://www.encodeproject.org/files/ENCFF619OUC/@@download/ENCFF619OUC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSE/
ENCFF682OVE,ENCFF682OVE.tsv,https://www.encodeproject.org/files/ENCFF682OVE/@@download/ENCFF682OVE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CRI/
ENCFF928UCA,ENCFF928UCA.tsv,https://www.encodeproject.org/files/ENCFF928UCA/@@download/ENCFF928UCA.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUX/
ENCFF164WTU,ENCFF164WTU.tsv,https://www.encodeproject.org/files/ENCFF164WTU/@@download/ENCFF164WTU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTI/
ENCFF484OLK,ENCFF484OLK.tsv,https://www.encodeproject.org/files/ENCFF484OLK/@@download/ENCFF484OLK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR510QZW/
ENCFF300IHP,ENCFF300IHP.tsv,https://www.encodeproject.org/files/ENCFF300IHP/@@download/ENCFF300IHP.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR636LEU/
ENCFF606LVM,ENCFF606LVM.tsv,https://www.encodeproject.org/files/ENCFF606LVM/@@download/ENCFF606LVM.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR146ZSP/
ENCFF588SVT,ENCFF588SVT.tsv,https://www.encodeproject.org/files/ENCFF588SVT/@@download/ENCFF588SVT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR636LEU/
ENCFF719OLV,ENCFF719OLV.tsv,https://www.encodeproject.org/files/ENCFF719OLV/@@download/ENCFF719OLV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTH/
ENCFF901YXB,ENCFF901YXB.tsv,https://www.encodeproject.org/files/ENCFF901YXB/@@download/ENCFF901YXB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CST/
ENCFF739XQV,ENCFF739XQV.tsv,https://www.encodeproject.org/files/ENCFF739XQV/@@download/ENCFF739XQV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTH/
ENCFF946EPF,ENCFF946EPF.tsv,https://www.encodeproject.org/files/ENCFF946EPF/@@download/ENCFF946EPF.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSE/
ENCFF887UHI,ENCFF887UHI.tsv,https://www.encodeproject.org/files/ENCFF887UHI/@@download/ENCFF887UHI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUV/
ENCFF587IAA,ENCFF587IAA.tsv,https://www.encodeproject.org/files/ENCFF587IAA/@@download/ENCFF587IAA.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUY/
ENCFF555MZU,ENCFF555MZU.tsv,https://www.encodeproject.org/files/ENCFF555MZU/@@download/ENCFF555MZU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSD/
ENCFF255TLL,ENCFF255TLL.tsv,https://www.encodeproject.org/files/ENCFF255TLL/@@download/ENCFF255TLL.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CRG/
ENCFF362GNC,ENCFF362GNC.tsv,https://www.encodeproject.org/files/ENCFF362GNC/@@download/ENCFF362GNC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CRG/
ENCFF694YJO,ENCFF694YJO.tsv,https://www.encodeproject.org/files/ENCFF694YJO/@@download/ENCFF694YJO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR022MON/
ENCFF547AUV,ENCFF547AUV.tsv,https://www.encodeproject.org/files/ENCFF547AUV/@@download/ENCFF547AUV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CVJ/
ENCFF621ZHU,ENCFF621ZHU.tsv,https://www.encodeproject.org/files/ENCFF621ZHU/@@download/ENCFF621ZHU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR655XQF/
ENCFF964OPM,ENCFF964OPM.tsv,https://www.encodeproject.org/files/ENCFF964OPM/@@download/ENCFF964OPM.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSC/
ENCFF091LWO,ENCFF091LWO.tsv,https://www.encodeproject.org/files/ENCFF091LWO/@@download/ENCFF091LWO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR510QZW/
ENCFF268IJX,ENCFF268IJX.tsv,https://www.encodeproject.org/files/ENCFF268IJX/@@download/ENCFF268IJX.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTK/
ENCFF752KIC,ENCFF752KIC.tsv,https://www.encodeproject.org/files/ENCFF752KIC/@@download/ENCFF752KIC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR841QAC/
ENCFF327BZW,ENCFF327BZW.tsv,https://www.encodeproject.org/files/ENCFF327BZW/@@download/ENCFF327BZW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR681ALA/
ENCFF940XNR,ENCFF940XNR.tsv,https://www.encodeproject.org/files/ENCFF940XNR/@@download/ENCFF940XNR.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR381OTM/
ENCFF278UHB,ENCFF278UHB.tsv,https://www.encodeproject.org/files/ENCFF278UHB/@@download/ENCFF278UHB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR381OTM/
ENCFF997RHB,ENCFF997RHB.tsv,https://www.encodeproject.org/files/ENCFF997RHB/@@download/ENCFF997RHB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR735JKB/
ENCFF512LRK,ENCFF512LRK.tsv,https://www.encodeproject.org/files/ENCFF512LRK/@@download/ENCFF512LRK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR261ISO/
ENCFF593UAE,ENCFF593UAE.tsv,https://www.encodeproject.org/files/ENCFF593UAE/@@download/ENCFF593UAE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR196ARY/
ENCFF853QIZ,ENCFF853QIZ.tsv,https://www.encodeproject.org/files/ENCFF853QIZ/@@download/ENCFF853QIZ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR192NBO/
ENCFF388QCP,ENCFF388QCP.tsv,https://www.encodeproject.org/files/ENCFF388QCP/@@download/ENCFF388QCP.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF951PCB,ENCFF951PCB.tsv,https://www.encodeproject.org/files/ENCFF951PCB/@@download/ENCFF951PCB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF725RIH,ENCFF725RIH.tsv,https://www.encodeproject.org/files/ENCFF725RIH/@@download/ENCFF725RIH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF990BAJ,ENCFF990BAJ.tsv,https://www.encodeproject.org/files/ENCFF990BAJ/@@download/ENCFF990BAJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF921WQK,ENCFF921WQK.tsv,https://www.encodeproject.org/files/ENCFF921WQK/@@download/ENCFF921WQK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR738IHB/
ENCFF405GVS,ENCFF405GVS.tsv,https://www.encodeproject.org/files/ENCFF405GVS/@@download/ENCFF405GVS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR771DEX/
ENCFF178AOB,ENCFF178AOB.tsv,https://www.encodeproject.org/files/ENCFF178AOB/@@download/ENCFF178AOB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR758MWM/
ENCFF733FFX,ENCFF733FFX.tsv,https://www.encodeproject.org/files/ENCFF733FFX/@@download/ENCFF733FFX.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF280QZQ,ENCFF280QZQ.tsv,https://www.encodeproject.org/files/ENCFF280QZQ/@@download/ENCFF280QZQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR914ALB/
ENCFF165YXI,ENCFF165YXI.tsv,https://www.encodeproject.org/files/ENCFF165YXI/@@download/ENCFF165YXI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPX/
ENCFF014JRQ,ENCFF014JRQ.tsv,https://www.encodeproject.org/files/ENCFF014JRQ/@@download/ENCFF014JRQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR424FAZ/
ENCFF278NVU,ENCFF278NVU.tsv,https://www.encodeproject.org/files/ENCFF278NVU/@@download/ENCFF278NVU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR450EXF/
ENCFF348KJL,ENCFF348KJL.tsv,https://www.encodeproject.org/files/ENCFF348KJL/@@download/ENCFF348KJL.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CQD/
ENCFF931XLQ,ENCFF931XLQ.tsv,https://www.encodeproject.org/files/ENCFF931XLQ/@@download/ENCFF931XLQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CQD/
ENCFF005WBQ,ENCFF005WBQ.tsv,https://www.encodeproject.org/files/ENCFF005WBQ/@@download/ENCFF005WBQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000COP/
ENCFF187EMD,ENCFF187EMD.tsv,https://www.encodeproject.org/files/ENCFF187EMD/@@download/ENCFF187EMD.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR362HMX/
ENCFF326VMM,ENCFF326VMM.tsv,https://www.encodeproject.org/files/ENCFF326VMM/@@download/ENCFF326VMM.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000COO/
ENCFF955BPJ,ENCFF955BPJ.tsv,https://www.encodeproject.org/files/ENCFF955BPJ/@@download/ENCFF955BPJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR568YRP/
ENCFF879QMA,ENCFF879QMA.tsv,https://www.encodeproject.org/files/ENCFF879QMA/@@download/ENCFF879QMA.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTN/
ENCFF942MTU,ENCFF942MTU.tsv,https://www.encodeproject.org/files/ENCFF942MTU/@@download/ENCFF942MTU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTN/
ENCFF368UEC,ENCFF368UEC.tsv,https://www.encodeproject.org/files/ENCFF368UEC/@@download/ENCFF368UEC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUH/
ENCFF958WFW,ENCFF958WFW.tsv,https://www.encodeproject.org/files/ENCFF958WFW/@@download/ENCFF958WFW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTQ/
ENCFF889UPO,ENCFF889UPO.tsv,https://www.encodeproject.org/files/ENCFF889UPO/@@download/ENCFF889UPO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUJ/
ENCFF964QLH,ENCFF964QLH.tsv,https://www.encodeproject.org/files/ENCFF964QLH/@@download/ENCFF964QLH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR261ISO/
ENCFF867UKR,ENCFF867UKR.tsv,https://www.encodeproject.org/files/ENCFF867UKR/@@download/ENCFF867UKR.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR637GBV/
ENCFF202DSC,ENCFF202DSC.tsv,https://www.encodeproject.org/files/ENCFF202DSC/@@download/ENCFF202DSC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR655XQF/
ENCFF063EGA,ENCFF063EGA.tsv,https://www.encodeproject.org/files/ENCFF063EGA/@@download/ENCFF063EGA.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR361DRG/
ENCFF138AWC,ENCFF138AWC.tsv,https://www.encodeproject.org/files/ENCFF138AWC/@@download/ENCFF138AWC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR681ALA/
ENCFF010QUB,ENCFF010QUB.tsv,https://www.encodeproject.org/files/ENCFF010QUB/@@download/ENCFF010QUB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR361DRG/
ENCFF458PJZ,ENCFF458PJZ.tsv,https://www.encodeproject.org/files/ENCFF458PJZ/@@download/ENCFF458PJZ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR982VYI/
