accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF136JRJ,ENCFF136JRJ.tsv,https://www.encodeproject.org/files/ENCFF136JRJ/@@download/ENCFF136JRJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF453WUI,ENCFF453WUI.tsv,https://www.encodeproject.org/files/ENCFF453WUI/@@download/ENCFF453WUI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF564XRK,ENCFF564XRK.tsv,https://www.encodeproject.org/files/ENCFF564XRK/@@download/ENCFF564XRK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR723OPL/
ENCFF839MWS,ENCFF839MWS.tsv,https://www.encodeproject.org/files/ENCFF839MWS/@@download/ENCFF839MWS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000COP/
ENCFF800TGS,ENCFF800TGS.tsv,https://www.encodeproject.org/files/ENCFF800TGS/@@download/ENCFF800TGS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000COP/
ENCFF705CWH,ENCFF705CWH.tsv,https://www.encodeproject.org/files/ENCFF705CWH/@@download/ENCFF705CWH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTN/
ENCFF737DLC,ENCFF737DLC.tsv,https://www.encodeproject.org/files/ENCFF737DLC/@@download/ENCFF737DLC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTP/
ENCFF775DYT,ENCFF775DYT.tsv,https://www.encodeproject.org/files/ENCFF775DYT/@@download/ENCFF775DYT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR510QZW/
ENCFF127GAN,ENCFF127GAN.tsv,https://www.encodeproject.org/files/ENCFF127GAN/@@download/ENCFF127GAN.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CQD/
ENCFF350BOF,ENCFF350BOF.tsv,https://www.encodeproject.org/files/ENCFF350BOF/@@download/ENCFF350BOF.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000COO/
ENCFF007ABB,ENCFF007ABB.tsv,https://www.encodeproject.org/files/ENCFF007ABB/@@download/ENCFF007ABB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR420ZKB/
ENCFF093ECT,ENCFF093ECT.tsv,https://www.encodeproject.org/files/ENCFF093ECT/@@download/ENCFF093ECT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR146ZSP/
ENCFF416ZRK,ENCFF416ZRK.tsv,https://www.encodeproject.org/files/ENCFF416ZRK/@@download/ENCFF416ZRK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR146ZSP/
ENCFF734MHI,ENCFF734MHI.tsv,https://www.encodeproject.org/files/ENCFF734MHI/@@download/ENCFF734MHI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR841QAC/
